ID_REF	GSM142398	GSM142399	GSM142400	GSM142401	GSM142402	GSM142403	GSM142404	GSM142405	GSM142406	GSM142407	GSM142408	GSM142409	GSM142410	GSM142411	GSM142412	GSM142413	GSM142414	GSM142415	GSM142416	GSM142417	GSM142418	GSM142419	GSM142420	GSM142421	GSM142422	GSM142423
1449187_at	21.5	618.5	65.3	42.7	38.8	26.9	35.4	76.2	85.8	47.8	63.2	4	14.9	46.6	7	39.4	15.7	30.2	56.5	5.7	26.4	47	23.2	9.6	32	16.5
1449188_at	516.3	125.5	489.6	491.1	477.7	637	396.8	218	262.3	401.1	433.9	292.1	373.8	423.2	285.7	261	152.8	422	538.6	239.7	317	235.9	269.3	443	445.8	261.2
1449189_at	535.1	382.7	478.3	421.9	447.9	596.9	421.5	376.7	429	525.8	307.7	394.6	408.5	406.6	453.2	361.6	392.3	443.2	407.8	422.5	344.4	312.4	386.9	349	342.3	386.9
1449190_a_at	244.2	189.9	397.9	357.2	183.2	140.1	114.9	358.2	467.2	140.2	252.2	237.6	213.1	202.1	177	28.6	44.3	220.7	477.6	197.8	346.8	313.2	335.5	279.3	190.6	150.3
1449191_at	41.6	37.3	17.9	11.6	7.3	30.9	14.5	4.1	13.9	32.3	65.7	6.6	10.2	7.8	28.2	37.6	36.1	17.4	18.7	44.8	18.6	4.1	11.1	17.3	6	25.5
1449192_at	647.7	307.1	736.1	788.7	570.3	386.9	451.2	481.7	537.4	658.4	352.5	478.6	486.8	478	409.6	343.9	272.2	491.7	365	325	476.2	375	487.7	720.5	233.1	148.1
1449193_at	12.4	42.5	492.6	33.3	142.3	616.4	242.7	46	96.2	65	25.2	180.3	48.6	586.9	593.7	98.5	118.4	49.6	240	102.7	104.3	51.5	17	121.4	13.2	15.1
1449194_at	385.5	798.2	319.8	264.2	533.5	558.8	599.2	462.6	441.1	520.5	645.6	363.1	458.7	536.5	523.3	479	785.6	359.1	126	580.2	298.4	215.1	347.5	276.3	798.4	931.6
1449195_s_at	22.6	44.6	42.3	32.2	29.9	39	2.1	248.9	295.2	86.7	5.5	27.1	7.8	246.4	12.8	1.5	63.3	59.2	185.6	15.9	1.3	24.4	5.3	38.6	60.8	45.5
1449196_a_at	27322.6	21804.1	27506.1	23710.8	19773.1	26340.8	24468.9	24627.4	23021.6	34108.2	28532.2	31692	30768.5	31071.4	36919	22697	24295.8	27096.4	34258.9	28358.7	27014.7	29836.6	27646.5	18692.4	22597.7	27198.7
1449197_at	216.6	181.3	219.2	299.5	207.4	259	297.5	262.7	244.4	183.3	117.3	293.3	157.8	139	281	330.6	361.9	255.2	217.9	209.9	401.1	576.8	333.1	269.5	283.7	255.8
1449198_a_at	371.6	181.6	437.6	571.6	1626	1344.1	1082.9	414.4	350.5	589.1	479.1	667.9	274.7	246.4	526.8	2092	1573.1	719.8	701.6	182.3	299.9	130.9	164.9	671.1	190.7	234.8
1449199_at	1.9	6.6	4.2	4.8	3.3	4.5	2.4	32.2	5.4	1.9	5	3	7.8	13.5	5.5	7.1	6.1	7.2	15.7	1.6	2.8	2.6	14.2	11.5	31.3	7.6
1449200_at	429	872.7	347.9	538.8	580.7	312.5	360.6	482.7	599.1	435.2	330.8	524	398.9	562.3	344.7	577.4	420.5	324.3	510.8	562.2	499.4	405.3	455.1	278.9	524.4	506.7
1449201_at	7.6	20.1	2.8	8.6	3.5	36.6	5.2	5.6	16	26.2	9.2	8.9	4.3	24	3.6	3.4	5	8.1	150	2.8	16.1	37.4	16.8	12.3	6	5.4
1449202_at	64.1	26.1	12	85.5	43.3	15.1	21.9	35.1	31.8	10.8	61.1	36.8	44.3	45.2	65.2	3	8.8	16.3	75.8	32.3	39.8	14.8	26.9	10.2	21.8	6
1449203_at	6.3	13.3	24.2	24.1	4	1.4	45	2.4	28.4	17.6	3.8	9.7	17.6	43.5	1.9	5.3	8.8	23.6	18.6	17.3	13.6	18	7.1	13.7	4.6	5.9
1449204_at	6.1	3.1	26	29.6	30.5	4.3	29.9	30.5	31	3.5	20.9	4.2	20.3	8.8	2.7	5	2	2.2	5	4.8	6.4	6.6	13.8	5.2	3.6	1.8
1449205_at	5.3	21.6	13	15.7	3.7	44.1	49.7	30.4	24.1	24.7	30.8	10.3	4.2	20.8	7.5	40.7	20.9	31.1	58	25.9	12.5	5.6	1.5	23.5	15.1	15.6
